Date,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
1/1/1978 00:00,london (uk/englnd),,gb,disk,1,1 second,Twin-disc &#39pivoting&#39 UFO observed to rapidly cross the skies of Slough&#44 U.K.&#44 in 1977/ 1978.,6/12/2008,51.514125,-0.093689
1/1/1978 01:00,june lake,ca,us,disk,900,15 min,seen flying saucers at june lake ca,2/14/2006,37.7797222,-119.0744444
1/1/1978 13:00,sagle,id,us,sphere,20,20 seconds,Hovering gray&#44 grapefruit size&#44 shaped sphere that travels at lightning speed.,10/8/2007,48.2025000,-116.5466667
1/5/1978 23:59,warwick,ri,us,sphere,300,5 mins,Warwick&#44 Rhode Island Jan/Feb 1978 Red Orb,9/17/2000,41.7000000,-71.4166667
1/6/1978 01:00,westport (about 10 miles north of&#44 us hwy.1),ca,us,other,900,15 min,Three humongus craft with about 30 saucers about them loading and unloading something.,1/28/1999,39.6358333,-123.7819444
1/6/1978 17:00,gloucester (canada),on,ca,egg,300,5 minutes,Large football shaped object with no wings&#44 no windows and lights were the wings should be&#44 very close I could clearly see it.,2/7/2014,45.4166667,-75.6
1/7/1978 02:00,bristol,tn,us,,600,10 minutes,Bright White Light,10/30/2006,36.5950000,-82.1888889
1/8/1978 22:00,cardiff (uk/wales),,gb,triangle,1200,20 mins,light in the sky splits into 3&#44 one of which is observed to be a huge triangle,8/28/2003,51.5,-3.2
1/9/1978 03:30,chatsworth,ca,us,circle,180,3 minutes,One night I looked up and saw one &quot;star&quot; slowly move into another. 3 days later I saw a 15 foot wide orange circle.,5/24/1999,34.2572222,-118.6002778
1/9/1978 04:30,thousand oaks,ca,us,circle,60,60 seconds,I awoke at 4:30 a.m. and was lying awake in bed looking out the window.  I saw a large round yellow glowing object close to the ground,1/28/1999,34.1705556,-118.8366667
1/10/1978 16:00,gateshead&#44tyne &amp; wear (uk/england),,,other,120,2 mins,Huge aeroplane/no sound travelling overhead,4/16/2005,54.95268,-1.603411
1/10/1978 20:00,walberswick suffolk (uk/england),,,disk,7200,1-2 hours,Saw flying saucer with coloured lights in 1978 and then a different craft in 1979.,10/27/2004,52.314994,1.661398
1/12/1978 20:00,grand rapids,mi,us,disk,300,5 minutes,Saw a craft decend over some power lines and hover.  Saucer shaped with bright lights around the middle,11/3/2005,42.9633333,-85.6680556
1/12/1978 20:00,grand rapids,mi,us,disk,300,5 minutes,I submitted this report back in 2005.  I have been reviewing my report from that time. There are a couple of things that are incorrect.,1/10/2009,42.9633333,-85.6680556
1/20/1978 02:00,midland,tx,us,cigar,30,30 seconds,Large cigar shaped hovering craft with flashing lights.,4/16/2005,31.9972222,-102.0775
1/22/1978 22:00,meriden,ct,us,diamond,600,10 minutes,amazing diamond shape craft at low altitude  seeminly moving  too slow to stay aloft,6/12/2008,41.5380556,-72.8075
2/1/1978 21:00,perth (western australia),,au,sphere,120,2 minutes,Bright orange glow. Stationary.,1/28/1999,-31.95224,115.861397
2/1/1978 22:00,dublin,nh,us,triangle,1200,15-20 min,I was with five friends at prep school in Dublin NH (Dublin School a private school) we were on the &quot;Upper FIeld&quot; which was a soccer fi,12/9/2000,42.9075000,-72.0630556
2/1/1978 23:59,detroit (metro area),mi,us,,5263200,1-2 months,Detroit UFO Flap of February 1978,4/27/2007,42.3313889,-83.0458333
2/9/1978 19:45,brighton,mi,us,triangle,7200,2 hours,Southeast Michigan UFO flap February 1978,6/12/2008,42.5294444,-83.7802778
2/15/1978 02:00,eastport,me,us,cigar,120,2 mins,glowing orange cigar shape light&#44 that streached like an elastic.,2/22/2005,44.9061111,-66.9905556
2/15/1978 03:00,waltham,ma,us,unknown,300,5 minutes,Stars or satellites change places in the sky.,7/4/2012,42.3763889,-71.2361111
2/15/1978 10:00,st.thomas (u. s. virgin islands),,,disk,130,130 seconds,Visible in the mid-day,12/7/2006,18.335361,-64.953401
2/20/1978 19:00,geneseo,ny,us,unknown,30,30 seconds,Observed a strange circular spotlight on ground in rural area,7/16/2006,42.7958333,-77.8172222
2/21/1978 03:00,soccoro (outside of),nm,,unknown,600,10+ minutes,INTENSE BLUE BEAM OF LIGHT. PARALYZING AFFECT. OBJECT WAS NOT VISIBLE DURING EVENT .,9/24/2012,34.0584,-106.891416
2/23/1978 01:48,braintree and raf weatherfield (between) (uk/england),,,light,240,3-4 minutes,I was active duty (USAF) at the time&#44 I was driving home (car-pooling) with a fellow worker&#44 his name is Mike Bugno. We were in his VW,11/19/1998,51.973598,0.5081
3/1/1978 17:00,los gatos,ca,us,oval,60,1 min / approx.,Large elipsoid object (greenish hugh) hovering and slowly moving forward just above the treeline (approx. 150 feet) in Los Gatos foothi,1/28/1999,37.2266667,-121.9736111
3/1/1978 19:30,saint clair shores,mi,,oval,180,3 minuts,Oval object&#44 center portion having windows&#44 internally lit with tall figures glaring out&#44 seen in MI&#44 spring eveng1978.,1/11/2002,42.495556,-82.900278
3/1/1978 22:00,stoughton,ma,us,other,60,1 minute,It was the day after the Blizzard of 78 in Massachusets,10/12/2001,42.1250000,-71.1027778
3/4/1978 22:00,yreka,ca,us,triangle,600,10 minutes,Low flying large darkened triangle with no sound seen by nine policemen,4/27/2007,41.7355556,-122.6333333
3/5/1978 21:00,rose hill,nc,us,rectangle,300,5 minutes,no noise&#44 no lights&#44  aircraft was hovering above my parents house without making any noise,12/23/2002,34.8280556,-78.0233333
3/7/1978 22:00,simi valley,ca,us,oval,15,15 seconds,Miraculous angelic orb of incredible speed seen by two witnesses in Simi Valley&#44 March&#44 1978.,10/15/2003,34.2694444,-118.7805556
3/10/1978 21:00,bellevue,wa,us,disk,1800,15 - 30 min,My age was 8 at the time and I was in bed just starting to fall asleep. Mother was in the den calling me to come &quot;see something&quot;. I did,8/5/2001,47.6105556,-122.1994444
3/15/1978 01:00,lolo,mt,us,light,180,maybe 2 - 3 minutes,The animals were in terror.,10/31/2003,46.7588889,-114.08
3/15/1978 13:00,mississippi (rural),ms,,disk,30,30 seconds,Not your typical saucer expectation.,10/23/2013,32.354668,-89.398528
3/17/1978 19:00,denver,co,us,triangle,2700,45 minutes,Denver&#44 Colorado&#44 March 17&#44 1977&#44 at around 7:30 pm. Two objects seen up close. One hovered over our home&#44 the other flew over at just,4/2/1999,39.7391667,-104.9841667
3/21/1978 04:00,medford,or,us,disk,480,7 or 8 mins,Inflight formation with two disk,3/19/2009,42.3266667,-122.8744444
3/25/1978 22:00,winterhaven,ca,us,disk,180,several hours,Nine menacing crafts rounded up a large group of campers on the Colorado River during one incredibly long night. 500 Lights On Obj,5/12/2010,32.7394444,-114.6338889
4/1/1978 04:00,farmington,nm,us,circle,600,7-10 min.,Daytime ufos that appeared above Farmington New Mexico in 1978.,7/26/2002,36.7280556,-108.2180556
4/1/1978 21:30,green springs,oh,us,cylinder,259200,72 hours intermitten,The begining of the lights in the night,10/30/2006,41.2561111,-83.0516667
4/4/1978 02:00,los angeles,ca,us,unknown,45,45 seconds,strange blue light enhances IQ,12/12/2009,34.0522222,-118.2427778
4/4/1978 21:00,natick,ma,us,sphere,480,8 minutes,GIANT UFO - Natick&#44 MA on Route 9 behind CAR WASH - either 1977 or 1978.,11/3/2005,42.2833333,-71.35
4/4/1978 21:15,natick,ma,us,sphere,900,15 minutes,GIANT UFO - Natick&#44 MA on Route 9 behind CAR WASH - either 1977 or 1978 additional confirmation.,10/30/2006,42.2833333,-71.35
4/4/1978 22:00,natick,ma,us,sphere,600,10 minutes,GIANT UFO - Natick&#44 MA ...Route 9 behind CAR WASH****MORE FOLLOW-UP INFO****April 1978,10/8/2007,42.2833333,-71.35
4/6/1978 20:00,chittenango,ny,us,fireball,21600,thursday evening,Red lights glaring over the sky of Town of Sullivan&#44 Madison County&#44 NY,4/17/2008,43.0450000,-75.8669444
4/12/1978 09:00,s&atilde;o paulo (brazil),,,cylinder,120,2 mn,Por volta de 9:00 da manha descendo a serra de santos de trem&#44perto de paranapiacaba avistei entre a fenda um objeto de forma cilindric,6/20/2005,-23.55052,-46.633309
4/15/1978 13:00,richardson,tx,us,other,120,1 to 2 minutes,Elongated wedge shaped UFO&#44 smooth silver in color&#44 in the daytime.,10/30/2006,32.9480556,-96.7294444
4/15/1978 13:00,pleasant hill,or,us,unknown,60,1 min,Grandfather and grandson levitated in dump truck. 500 Lights On Object0: Yes,6/9/2009,43.9661111,-122.9305556
4/15/1978 18:00,albuquerque,nm,us,disk,120,2 minutes,red glowing object in daytime sky,7/25/2004,35.0844444,-106.6505556
4/19/1978 23:00,westland,mi,us,disk,120,2 minutes,Approx 50-75 feet above us&#44 30-40 ft diameter&#44 metal&#44 saucer shaped UFO&#44 colored lights all around&#44 2 bright white lights.,8/24/2004,42.3241667,-83.4002778
4/21/1978 00:00,tiffen valley,oh,,flash,21600,6 hours,Was with friend&#44 hitchhiking from New Hampshire to Illinois. Police kicked us off of the highway and we wound up on back roads and in T,7/5/1999,40.417287,-82.907123
5/1/1978 00:00,wrightstown,pa,us,light,900,15 minutes,I was contacted years ago by NICAP about a news story that was written about my experience in Bucks County Pennsylvania in either 1978,6/4/2004,40.2666667,-74.9836111
5/1/1978 18:00,big bear lake,ca,us,disk,300,5 minutes,Disk / cigar object hovering east of Big Bear Lake&#44 CA,8/5/2001,34.2438889,-116.9105556
5/2/1978 21:00,midway/marion,ky,,other,900,15 min,My friend and I seen this square ufo at my fluorspar mine&#44 it was about 40+40+40ft. it did not have any lights on it&#44 my lights reflect,4/22/2003,37.306586,-88.178386
5/5/1978 06:30,gardner,ma,us,oval,45,3/4 minutes,At the time I was six years old.  It was light outside and I looked out our bay window and almost at eye level&#44 I noticed what at first,10/7/2003,42.5750000,-71.9986111
5/5/1978 13:00,pasadena,ca,us,cigar,120,several minutes,I submitted the following to a French UMMO site isn1997. For years I have been trying to track down a craft&#39s symbol my 4 yr.ol,10/31/2003,34.1477778,-118.1436111
5/6/1978 21:00,barrington,il,us,triangle,600,10 minutes,Very large triangular humming (pulsing) craft with several lights moving slowly,5/13/2012,42.1538889,-88.1361111
5/7/1978 21:50,grand prairie,tx,us,triangle,60,1 minute,1978 Ufo Grand Prairie Century 4 drive In.,3/8/2007,32.7458333,-96.9975
5/10/1978 20:30,sandwich,ma,us,triangle,300,5 minutes,Irregularly-shaped large elongated triangle with blue after-glow seen soundlessly moving over Cape Cod.,10/30/2006,41.7588889,-70.4944444
5/10/1978 20:30,san diego,ca,us,changing,1500,25 minutes,UFO hovering behind our backyard&#44 the night of May 10&#441978,8/5/2001,32.7152778,-117.1563889
5/20/1978 17:00,atlantic ocean/caribbean sea,,,unknown,300,4-5  mins,Supersonic clouds,3/28/2004,29.192845,-80.991362
5/24/1978 01:30,paramus (route 4&#44 eastbound lane),nj,us,cigar,600,7 to 10 minutes,I don&#39t remember the exact date It happened. In 1978 when i was driving home to new york state. I was driving home on route 4 west when,2/16/1999,40.9444444,-74.0758333
5/29/1978 20:00,philadelphia,pa,us,fireball,15,15 seconds,Ball of fire streaks eastward over Phila.&#44 lands in Atlantic Ocean one mile from Resorts Intl.. ((NUFORC Note:  Meteor??  PD)),2/14/2008,39.9522222,-75.1641667
6/1/1978 00:00,grants pass,or,us,disk,7200,2 hrs.,Object landed on corner of street.  Stayed there approx. 2 hours.  Had red&#44 blue&#44 yellow&#44 green lights along middle that spun.  Approx.,4/2/1999,42.4391667,-123.3272222
6/1/1978 00:30,grand saline,tx,us,light,15,15 seconds,Blinding white light over my pickup then suddenly I&#39m outside of my truck looking in an empty sky.,4/12/2013,32.6733333,-95.7091667
6/1/1978 01:00,calgary (west of) (canada),ab,ca,circle,180,2-3 min,fierey wheel seen over canadian rockies.,2/1/2007,51.083333,-114.083333
6/1/1978 01:00,marshall,il,us,cigar,1800,30+ min,Silent blimp directly above us. No sound or movement or reason. Middle of nowhere. Totally strange.,10/30/2006,39.3913889,-87.6936111
6/1/1978 03:00,lancaster,oh,us,sphere,5,5 seconds,Moving from the North to the south &#44 a very white &quot;light&quot; moved in a straight line across the night sky. There were no blinking lights,10/15/2002,39.7136111,-82.5994444
6/1/1978 06:30,felixstowe (uk/england),nt,gb,sphere,900,15 min,jUST TO MAKE SURE  PLEASE DO NOT INCLUDE MY NAME ON ANY PUBLISHED FORMAT,6/12/2008,51.966667,1.35
6/1/1978 12:00,hudsonville,mi,us,other,120,a few minutes,rectangular football field length white steel girder ship that hoovered without a noise over my head in hudsonville&#44 mi,7/16/2006,42.8708333,-85.865
6/1/1978 13:00,katy,tx,us,egg,60,1 minute,egg shaped metalic object viewed over Katy&#44 Tx in 1978,2/14/2008,29.7855556,-95.8241667
6/1/1978 14:00,georgia coast (90 miles off shore),ga,,diamond,7200,2 hours,1978 Atlantic Ocean Sighting,4/27/2007,33.987953,-84.270372
6/1/1978 17:30,christchurch (new zealand),,,other,120,2 mins,Mothercraft sighting over Christchurch NZ witnessed by 1000&#39s in late 70&#39s and as yet largely unreported,3/21/2003,-43.532054,172.636225
6/1/1978 18:00,fulton,mo,us,fireball,14400,4 hours,My friend &amp; I had 4 hours of missing time.,7/1/2002,38.8466667,-91.9477778
6/1/1978 18:00,attica,mi,us,oval,900,10-15 min,feeling as i was pulled toward the craft that they were from another time&#44 and they were not here to harm us... 500 Lights On Objec,4/17/2008,43.0302778,-83.1661111
6/1/1978 18:30,san pedro de macoris,,,circle,180,3 minutes,Three bright orange circles of light in the sky (forming a triangle),10/30/2006,18.45,-69.3
6/1/1978 19:00,north adams,ma,us,sphere,120,1/2 min,Hi This is a sighting my mother had of a UFO&#44 it was on a Monday  in 1978 in a small town called North Adams Massachusetts. The time wa,2/18/2001,42.7008333,-73.1091667
6/1/1978 19:00,pensacola,fl,us,oval,900,10-15 minutes,Pensacola&#44 FL- a space craft of immese size appeared without sound,5/15/2006,30.4211111,-87.2169444
6/1/1978 20:00,ocean city,nj,us,triangle,600,10 minutes,Ocean City&#44 NJ&#44 triangle of 3 lights&#44 hovered over condominium&#44 no sound&#44 departed with incredible speed,5/15/2006,39.2775000,-74.575
6/1/1978 20:00,philadelphia,pa,us,other,3600,1 hour,Smaller craft came out of a slit in the sky above the roof tops in a residential neighborhood.  It was a darker brushed metal color.,4/18/2012,39.9522222,-75.1641667
6/1/1978 20:00,elsberry,mo,us,light,1200,20 minutes,MISSOURI INVESTIGATORS GROUP Report:  My family and I witnessed the strange lights.,12/7/2006,39.1666667,-90.7808333
6/1/1978 21:00,paterson,nj,us,disk,120,2 minutes,UFO on the night of the Paterson Falls View Festival,3/11/2006,40.9166667,-74.1722222
6/1/1978 21:00,columbia,sc,us,circle,900,15min,A large circular craft with many different colored lights blinking around it (like they were windows or lights on the craft).,12/2/2000,34.0005556,-81.035
6/1/1978 21:00,john&#39s island/james island,sc,,oval,1800,30 minutes,3 oval shapes outlined in green glow lights&#44 followed car at distance the length of Bohickett Road to James Island.,11/21/2010,32.753472,-79.952845
6/1/1978 21:30,lee park,pa,us,disk,300,5 minutes,very bright light (white/purple) at the center of object and one smaller illuminating light on each side of the center light.,3/6/2001,41.2311111,-75.915
6/1/1978 22:00,sterling park (near dulles airport),va,us,disk,1800,30 minutes?,My brother&#44 sister and I saw several strange lights in the sky descending slowing towards the ground.  My sis and bro looked thru binoc,1/7/2000,39.0036111,-77.4008333
6/1/1978 22:00,paxton,il,us,unknown,5,5 seconds,White beacon of rotating white light followed by the same in green,6/18/2004,40.4602778,-88.0952778
6/1/1978 22:00,victoria,tx,us,oval,30,30 seconds,UFO seen over Texas skys in the late &#3970s,6/12/2002,28.8050000,-97.0033333
6/1/1978 22:00,bourbonnais,il,us,disk,900,15 min,I remember this experience though I was very young&#44 my brother (who is 8 yrs. older) and I were just talking about this sighting this e,8/28/2003,41.1416667,-87.875
6/1/1978 22:00,florida keys,fl,,unknown,900,15 min,A unidentified erratically flying object spotted  at night in the Florida Keys in the late seventies,2/14/2008,24.555736,-81.782654
6/1/1978 22:30,dryden (canada),on,ca,sphere,240,2-4 min,2 ufo&#39s over Dryden&#44Ont&#44late 70&#39s,3/23/2004,49.783333,-92.833333
6/10/1978 13:00,tennyson,tx,us,flash,2,1-2 seconds,Astonishingly fast moving light.,7/5/2013,31.7416667,-100.2858333
6/12/1978 00:00,diamond bar,ca,us,unknown,900,15 minutes,one craft intered and stoped east of me moved to my south viewed me met two other craft and left in a tryangel formation,11/4/2002,34.0286111,-117.8094444
6/14/1978 09:15,los angeles,ca,us,triangle,420,7 minutes,Triangle  crafts  in V formation slowly flew over parking lot in Los Angeles Crenshaw shopping area,5/11/2005,34.0522222,-118.2427778
6/15/1978 00:30,appleton,mn,us,light,3600,1 hour,I woke up and saw it hovering noiseless over the neighbors horses and the highway. I awoke the whole family,1/11/2002,45.1969444,-96.0194444
6/15/1978 03:00,boston,ma,us,sphere,300,5 minutes,It was gold and round about the size of a golfball.,5/13/2003,42.3583333,-71.0602778
6/15/1978 10:00,jarabacoa (dominican republic),,,cigar,300,5 mins,Cigar UFO sighting Dominican Republic 1978,11/28/2007,19.116667,-70.633333
6/15/1978 12:00,hoopa,ca,us,oval,2700,45 min,Twinkling lights&#44 oval shaped craft&#44 no sound&#44 hovered for 45 min. Around midnight&#44 1978,1/28/1999,41.0505556,-123.6730556
6/15/1978 14:00,orange,ca,us,circle,10,10 seconds,UFO disappears behind trees,8/16/2002,33.7877778,-117.8522222
6/15/1978 17:00,levittown,ny,us,disk,60,1 minute,I saw this disc in broad daylight clearly&#33,7/25/2004,40.7258333,-73.5147222
6/15/1978 17:30,granite station (near),ca,,cylinder,1200,aprx 20min,We&#44 had sence of dread&#44 but not hostility; I was armed with high power rifle&#44 felt no need to use it.,5/2/2011,36.623189,-121.922549
6/15/1978 18:00,zimmerman (3 miles east of),mn,,teardrop,600,10 minutes,Was it childhood imagination or real?,3/21/2003,45.443299,-93.589962
6/15/1978 19:30,madison heights,va,us,circle,120,2 mins.,Circular lighted object sighted,3/21/2003,37.4308333,-79.1233333
6/15/1978 20:00,lowell,ma,us,cigar,120,2 min,In summer of 1978 @ age 7&#44I looked out my third floor window and saw a steadily and slowly moving hot-dog shaped object&#44red-orange sun-,1/22/2000,42.6333333,-71.3166667
6/15/1978 20:00,mancelona,mi,us,disk,600,10 minutes,The craft hummed loudly&#44 was saucer shaped and had lights that were rotating around the edge.,6/18/2003,44.9022222,-85.0608333
6/15/1978 20:30,baton rouge,la,us,oval,300,5 minutes,HUGE oval craft  hovering over the treetops follows our car.,10/31/2008,30.4505556,-91.1544444
